id,Номер Рейса,Что случилсоь,Наличие пострадавши,Поврежденные модули,Критично для текущего рейса?,id_Flight
1,324-98-8422,suscipit ligula in lacus curabitur at ipsum ac,0,non velit nec nisi vulputate nonummy,0,1
2,286-28-4517,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,0,et ultrices,1,2
3,544-71-6456,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,1,at turpis donec,1,3
4,237-56-1795,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,0,nulla mollis molestie lorem quisque ut,1,4
5,743-14-4378,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,0,vel pede morbi porttitor lorem,1,5
6,446-43-1321,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,1,elementum in hac habitasse platea dictumst morbi vestibulum velit,1,6
7,846-95-2905,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,0,amet sem fusce consequat nulla nisl nunc nisl,0,7
8,346-74-0453,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,0,eu est,0,8
9,809-04-9367,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,1,vitae,0,9
10,529-34-8933,sagittis sapien cum sociis natoque,1,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,0,10
11,322-36-0354,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,1,lorem ipsum dolor sit,1,11
12,440-28-1472,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,1,duis at velit,1,12
13,225-04-0935,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,1,aliquam,0,13
14,790-90-7825,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,0,luctus,1,14
15,635-43-2933,sit amet diam in magna bibendum imperdiet nullam orci,0,placerat ante nulla justo aliquam quis turpis eget elit,0,15
16,444-36-1213,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,1,at turpis a,0,16
17,312-25-7605,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,0,ante vestibulum ante ipsum primis in,0,17
18,546-31-6757,condimentum curabitur in libero ut massa volutpat,1,sapien varius ut blandit non interdum in ante,1,18
19,204-56-1905,posuere nonummy integer non velit donec diam neque vestibulum eget,0,sem fusce consequat nulla nisl nunc nisl,0,19
20,500-29-5849,adipiscing elit proin risus praesent lectus vestibulum quam,0,luctus nec molestie,0,20
21,145-55-5539,sem praesent id massa id nisl venenatis lacinia,0,pharetra magna ac,1,21
22,562-63-6405,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,1,libero ut,0,22
23,253-10-0281,in lacus curabitur at ipsum,0,ultrices,0,23
24,360-83-6849,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,0,dui maecenas tristique est,1,24
25,857-44-8782,aenean sit amet justo morbi ut odio cras mi pede malesuada in,1,vivamus vestibulum sagittis sapien cum sociis natoque penatibus,1,25
26,496-74-4165,leo pellentesque ultrices mattis odio donec vitae,1,faucibus orci luctus et,1,26
