id,Номер Рейса,Тип Рейса,Время отправки,Время прибытия,id_Air_Marshal,id_Plane
1,201-46-8545,Грузовой,3:28,14:28,1,1
2,427-28-9261,Пассажирский,13:54,0:50,2,2
3,269-25-9086,Пассажирский,12:40,17:14,3,3
4,897-06-2632,Пассажирский,7:21,3:47,4,4
5,843-93-9817,Грузовой,0:20,16:05,5,5
6,283-11-5008,Пассажирский,10:08,2:18,6,6
7,117-10-6128,Грузовой,22:07,21:53,7,7
8,173-98-2799,Грузовой,23:33,20:54,8,8
9,845-72-4324,Пассажирский,13:10,9:34,9,9
10,759-27-9833,Грузовой,6:18,8:26,10,10
11,625-98-7843,Грузовой,10:41,0:22,11,11
12,434-71-9761,Пассажирский,12:04,9:23,12,12
13,264-96-0192,Грузовой,13:23,0:07,13,13
14,433-47-9865,Грузовой,3:38,13:39,14,14
15,782-45-7515,Пассажирский,14:33,21:10,15,15
16,207-41-3342,Пассажирский,2:54,18:20,16,16
17,588-65-8991,Грузовой,21:09,11:34,17,17
18,463-60-3991,Грузовой,21:18,13:49,18,18
19,776-30-3585,Грузовой,6:03,10:32,19,19
20,131-57-4004,Пассажирский,4:45,14:00,20,20
21,639-92-9048,Грузовой,9:14,9:19,21,21
22,623-27-7036,Грузовой,4:28,1:04,22,22
23,823-58-1199,Пассажирский,14:12,22:47,23,23
24,612-73-3961,Пассажирский,9:31,10:52,24,24
25,716-60-9016,Пассажирский,9:00,23:42,25,25
26,624-67-7097,Грузовой,5:34,23:06,26,26
27,527-14-2071,Грузовой,9:24,12:15,27,27
28,277-72-6776,Пассажирский,3:35,20:48,28,28
29,237-72-1558,Грузовой,9:03,20:11,29,29
30,460-36-7971,Грузовой,3:20,10:24,30,30
31,787-36-8000,Грузовой,15:29,19:55,31,31
32,171-07-9487,Грузовой,3:29,12:45,32,32
33,865-78-1471,Грузовой,0:57,17:46,33,33
34,694-48-8476,Пассажирский,14:04,13:01,34,34
35,857-02-6432,Пассажирский,16:33,3:18,35,35
36,817-24-9255,Грузовой,10:00,23:52,36,36
37,455-42-7711,Грузовой,23:39,7:13,37,37
38,668-97-0484,Грузовой,19:56,23:47,38,38
39,813-74-3405,Грузовой,15:06,0:00,39,39
40,159-14-6094,Пассажирский,16:26,19:50,40,40
41,676-34-2293,Пассажирский,20:08,4:15,41,41
