id,Назначение,Размер,Вес,Легальность,Содержимое,Хрупкость,id_Ticket
1,Военное,in,21,1,Nam dui.,1,1
2,Гражданское,posuere cubilia curae,44,1,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1,2
3,Военное,venenatis tristique,6,1,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",1,3
4,Военное,nec condimentum,5,1,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1,4
5,Военное,vestibulum sagittis sapien cum,35,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",0,5
6,Военное,convallis,21,0,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,1,6
7,Военное,quisque erat eros,39,0,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,1,7
8,Гражданское,diam cras,6,0,Fusce consequat.,0,8
9,Военное,tempus semper est,46,1,In congue. Etiam justo.,0,9
10,Гражданское,velit vivamus vel,33,1,Morbi a ipsum.,0,10
11,Гражданское,nisi vulputate nonummy maecenas,45,1,Nullam varius.,0,11
12,Военное,leo pellentesque ultrices,39,1,Integer ac leo.,1,12
13,Военное,ultrices,41,0,Aliquam erat volutpat.,1,13
14,Военное,purus sit,43,0,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",1,14
15,Военное,ultrices enim lorem ipsum,48,1,Cras pellentesque volutpat dui.,1,15
16,Гражданское,tristique,38,1,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,0,16
17,Военное,facilisi cras non,20,1,Etiam faucibus cursus urna. Ut tellus.,1,17
18,Военное,luctus rutrum nulla tellus,5,1,Proin eu mi. Nulla ac enim.,0,18
19,Гражданское,ultrices posuere,29,1,Fusce posuere felis sed lacus.,0,19
20,Военное,montes nascetur,24,0,Donec vitae nisi.,1,20
21,Военное,in,30,0,Proin eu mi.,1,21
22,Военное,amet consectetuer adipiscing,11,0,Aenean auctor gravida sem.,1,22
23,Военное,convallis morbi odio,46,1,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,1,23
24,Военное,leo pellentesque,12,0,Duis at velit eu est congue elementum.,0,24
25,Военное,amet lobortis,25,0,In congue.,1,25
26,Военное,ipsum praesent blandit,40,0,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,26
27,Гражданское,urna pretium,5,1,Quisque porta volutpat erat.,0,27
28,Военное,integer non velit donec,15,1,Donec posuere metus vitae ipsum.,0,28
29,Гражданское,ut,12,0,Nullam porttitor lacus at turpis.,1,29
30,Военное,posuere metus vitae ipsum,15,1,Aenean sit amet justo.,0,30
31,Военное,erat tortor sollicitudin mi,4,1,Nulla nisl. Nunc nisl.,1,31
32,Военное,sapien cum sociis natoque,10,0,Morbi quis tortor id nulla ultrices aliquet.,1,32
33,Гражданское,pede venenatis non,30,1,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,1,33
34,Гражданское,in felis eu,26,1,Duis bibendum.,0,34
35,Военное,magna bibendum imperdiet nullam,6,0,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,1,35
36,Гражданское,in consequat,5,0,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,0,36
37,Военное,eleifend quam,42,0,Cras pellentesque volutpat dui.,0,37
38,Военное,lacinia nisi venenatis tristique,6,1,Etiam pretium iaculis justo.,1,38
39,Военное,fusce consequat,18,0,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,1,39
40,Военное,aliquam quis turpis,13,1,In hac habitasse platea dictumst.,0,40
41,Гражданское,porttitor,22,1,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1,41
42,Военное,fusce congue,36,1,In eleifend quam a odio.,1,42
43,Военное,in faucibus,37,0,Donec semper sapien a libero. Nam dui.,1,43
44,Гражданское,odio odio elementum,2,1,Morbi quis tortor id nulla ultrices aliquet.,0,44
45,Гражданское,volutpat,13,1,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1,45
46,Военное,malesuada,11,0,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1,46
47,Гражданское,sed nisl nunc,36,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",0,47
48,Гражданское,integer pede justo,18,0,Nam tristique tortor eu pede.,0,48
49,Военное,lectus,8,1,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,0,49
50,Гражданское,erat id mauris vulputate,46,1,Phasellus in felis.,0,50
51,Гражданское,primis in,49,1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",0,51
52,Гражданское,pede lobortis ligula,27,1,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,0,52
53,Гражданское,duis ac nibh,23,0,Aliquam quis turpis eget elit sodales scelerisque.,1,53
54,Гражданское,sed lacus,11,0,Nulla ut erat id mauris vulputate elementum. Nullam varius.,0,54
55,Военное,porta,8,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1,55
56,Гражданское,massa,49,1,Nullam porttitor lacus at turpis.,1,56
57,Военное,vehicula,13,1,Mauris lacinia sapien quis libero.,0,57
