id,Производитель,Загруженность,Состояние,Тип,Номер модели,id_Hangar
1,Airbus,94,Хорошее,Грузовой,637-02-4564,1
2,Airbus,20,Неудовлетворительное,Пассажирский,263-44-5625,2
3,Airbus,8,Удовлетворительное,Грузовой,155-70-5274,3
4,Lockheed,19,Ну такое,Грузовой,752-16-7496,4
5,Kawasaki,11,Неудовлетворительное,Грузовой,697-82-1054,5
6,Airbus,6,Удовлетворительное,Грузовой,384-31-6307,6
7,Boeing,3,Идеальное,Грузовой,612-02-2618,7
8,Boeing,0,Хорошее,Грузовой,484-29-8279,8
9,Туполев,8,Идеальное,Пассажирский,765-75-5771,9
10,Airbus,44,Ну такое,Пассажирский,585-38-2806,10
11,Туполев,27,Удовлетворительное,Пассажирский,196-85-8341,11
12,Туполев,43,Хорошее,Пассажирский,206-50-4972,12
13,ОАК,93,Идеальное,Пассажирский,509-04-6062,13
14,Lockheed,26,Удовлетворительное,Пассажирский,891-77-8057,14
15,Туполев,95,Неудовлетворительное,Грузовой,586-14-3768,15
16,Kawasaki,86,Ну такое,Пассажирский,278-25-9836,16
17,ОАК,61,Ну такое,Грузовой,771-06-4726,17
18,Airbus,57,Ну такое,Пассажирский,392-69-9853,18
19,Kawasaki,90,Идеальное,Пассажирский,459-92-5287,19
20,Lockheed,4,Идеальное,Грузовой,501-59-1772,20
21,Lockheed,55,Хорошее,Грузовой,734-48-1957,21
22,Lockheed,2,Удовлетворительное,Пассажирский,386-11-9535,22
23,ОАК,27,Хорошее,Грузовой,606-68-8242,23
24,Туполев,65,Неудовлетворительное,Пассажирский,374-79-2577,24
25,Boeing,23,Удовлетворительное,Пассажирский,693-89-0891,25
26,Lockheed,38,Ну такое,Грузовой,381-37-2126,26
27,Airbus,38,Хорошее,Пассажирский,233-33-5743,27
28,Туполев,14,Неудовлетворительное,Грузовой,890-09-9982,28
29,Airbus,15,Неудовлетворительное,Пассажирский,178-31-5100,29
30,ОАК,31,Хорошее,Пассажирский,516-67-1663,30
31,Lockheed,7,Хорошее,Грузовой,481-77-7924,31
32,Туполев,76,Удовлетворительное,Грузовой,631-85-2348,32
33,Kawasaki,50,Ну такое,Пассажирский,114-17-7283,33
34,Airbus,37,Хорошее,Грузовой,769-50-1282,34
35,Airbus,13,Идеальное,Грузовой,659-26-3997,35
36,Airbus,85,Неудовлетворительное,Пассажирский,876-98-7184,36
37,Туполев,74,Идеальное,Грузовой,780-67-9910,37
38,Boeing,6,Удовлетворительное,Грузовой,269-09-0198,38
39,Туполев,98,Удовлетворительное,Пассажирский,366-86-8056,39
40,Boeing,76,Удовлетворительное,Пассажирский,479-75-3715,40
41,Туполев,59,Ну такое,Пассажирский,491-43-8830,41
42,Kawasaki,55,Ну такое,Грузовой,384-43-5503,42
43,Airbus,26,Идеальное,Грузовой,453-25-0255,43
44,Boeing,49,Удовлетворительное,Пассажирский,394-92-2212,44
45,Airbus,7,Идеальное,Пассажирский,511-22-1944,45
46,Kawasaki,19,Ну такое,Грузовой,736-24-0324,46
47,Lockheed,6,Удовлетворительное,Грузовой,277-13-6377,47
48,Kawasaki,62,Хорошее,Пассажирский,135-21-5547,48
49,Airbus,100,Удовлетворительное,Грузовой,401-99-4590,49
50,Airbus,3,Удовлетворительное,Грузовой,283-34-9100,50
51,Kawasaki,51,Идеальное,Пассажирский,420-61-6071,51
52,Lockheed,15,Неудовлетворительное,Пассажирский,376-76-7575,52
53,Boeing,42,Идеальное,Пассажирский,386-48-4447,53
54,Lockheed,6,Неудовлетворительное,Пассажирский,246-75-2992,54
55,Airbus,37,Идеальное,Грузовой,437-45-6906,55
56,Airbus,78,Идеальное,Грузовой,524-44-3415,56
57,ОАК,89,Неудовлетворительное,Грузовой,444-47-1985,57
58,Boeing,13,Неудовлетворительное,Грузовой,509-54-2678,58
59,Туполев,26,Удовлетворительное,Пассажирский,330-88-2267,59
60,Туполев,16,Удовлетворительное,Грузовой,386-63-8038,60
61,Kawasaki,82,Идеальное,Грузовой,337-79-8526,61
62,Boeing,71,Неудовлетворительное,Грузовой,470-47-4344,62
63,Kawasaki,80,Неудовлетворительное,Грузовой,193-33-6292,63
64,Туполев,77,Удовлетворительное,Пассажирский,108-41-6312,64
65,ОАК,24,Хорошее,Пассажирский,703-75-6425,65
66,Boeing,37,Идеальное,Пассажирский,566-48-1201,66
67,Boeing,12,Неудовлетворительное,Грузовой,213-29-3697,67
68,Boeing,80,Идеальное,Грузовой,519-88-6529,68
69,Airbus,24,Неудовлетворительное,Грузовой,108-98-4125,69
70,Lockheed,63,Идеальное,Пассажирский,406-63-7452,70
71,Kawasaki,87,Неудовлетворительное,Грузовой,835-90-5441,71
72,Airbus,9,Неудовлетворительное,Грузовой,593-72-8275,72
73,Boeing,86,Хорошее,Грузовой,710-97-5954,73
74,Туполев,4,Ну такое,Пассажирский,864-51-2302,74
75,Boeing,65,Неудовлетворительное,Пассажирский,719-10-6508,75
76,Lockheed,35,Неудовлетворительное,Пассажирский,843-03-8647,76
77,ОАК,6,Ну такое,Пассажирский,128-82-0315,77
78,Airbus,90,Идеальное,Пассажирский,195-15-1834,78
79,Туполев,2,Хорошее,Грузовой,735-68-3284,79
80,Lockheed,5,Неудовлетворительное,Пассажирский,127-89-8051,80
81,Lockheed,67,Удовлетворительное,Грузовой,544-17-8765,81
82,Airbus,52,Ну такое,Грузовой,570-09-4537,82
83,Airbus,12,Удовлетворительное,Грузовой,178-01-0280,83
84,Kawasaki,33,Удовлетворительное,Пассажирский,249-78-0763,84
85,ОАК,75,Неудовлетворительное,Грузовой,772-41-0126,85
86,ОАК,69,Удовлетворительное,Грузовой,118-12-5767,86
87,Туполев,6,Идеальное,Грузовой,386-71-4812,87
88,ОАК,98,Идеальное,Грузовой,195-98-3220,88
89,ОАК,82,Идеальное,Грузовой,381-56-7411,89
90,ОАК,26,Ну такое,Пассажирский,186-38-4856,90
91,Airbus,22,Ну такое,Пассажирский,352-09-9384,91
92,Kawasaki,80,Идеальное,Грузовой,449-62-9816,92
93,Lockheed,65,Неудовлетворительное,Грузовой,736-40-5430,93
94,Lockheed,54,Ну такое,Грузовой,885-44-6294,94
95,Lockheed,42,Неудовлетворительное,Пассажирский,179-68-5338,95
96,Airbus,21,Удовлетворительное,Пассажирский,487-77-4952,96
97,ОАК,43,Удовлетворительное,Грузовой,689-73-6825,97
98,Lockheed,25,Неудовлетворительное,Пассажирский,600-08-8677,98
99,Boeing,32,Удовлетворительное,Пассажирский,581-41-7717,99
100,Airbus,29,Хорошее,Грузовой,540-11-0656,100
101,ОАК,36,Ну такое,Грузовой,515-42-7640,101
102,Kawasaki,73,Неудовлетворительное,Грузовой,322-53-4406,102
103,Airbus,27,Идеальное,Грузовой,503-85-8858,103
104,Туполев,34,Неудовлетворительное,Грузовой,488-22-1655,104
105,Lockheed,17,Неудовлетворительное,Пассажирский,466-75-3398,105
106,Туполев,99,Удовлетворительное,Грузовой,526-82-4051,106
107,Kawasaki,76,Удовлетворительное,Грузовой,275-17-5439,107
108,Kawasaki,96,Удовлетворительное,Пассажирский,259-11-6336,108
109,Boeing,93,Удовлетворительное,Пассажирский,677-47-5845,109
110,Lockheed,52,Идеальное,Грузовой,179-61-9643,110
111,Kawasaki,60,Хорошее,Грузовой,667-69-9328,111
112,Boeing,100,Идеальное,Пассажирский,180-96-3911,112
113,ОАК,17,Хорошее,Пассажирский,750-12-5766,113
114,Kawasaki,9,Неудовлетворительное,Грузовой,274-16-6843,114
115,Kawasaki,57,Ну такое,Пассажирский,387-49-3130,115
116,ОАК,29,Идеальное,Пассажирский,596-15-0952,116
117,Kawasaki,25,Идеальное,Пассажирский,643-70-4078,117
118,Lockheed,88,Ну такое,Пассажирский,447-73-1803,118
119,Boeing,50,Идеальное,Грузовой,368-90-1599,119
120,Boeing,32,Ну такое,Пассажирский,898-99-1260,120
121,Lockheed,0,Удовлетворительное,Пассажирский,883-34-4525,121
122,Boeing,85,Неудовлетворительное,Грузовой,236-71-3121,122
123,Туполев,61,Хорошее,Грузовой,142-50-2235,123
124,Lockheed,79,Удовлетворительное,Грузовой,711-84-6636,124
125,Airbus,83,Ну такое,Грузовой,635-71-7084,125
126,Boeing,4,Хорошее,Грузовой,133-25-1188,126
127,ОАК,35,Неудовлетворительное,Пассажирский,155-09-0979,127
128,Lockheed,36,Ну такое,Грузовой,806-05-0198,128
129,Lockheed,27,Удовлетворительное,Пассажирский,891-55-2246,129
130,Туполев,75,Неудовлетворительное,Пассажирский,223-80-4912,130
131,Туполев,100,Ну такое,Пассажирский,686-16-7728,131
132,Туполев,48,Хорошее,Грузовой,405-62-3672,132
133,Airbus,75,Неудовлетворительное,Пассажирский,899-40-2246,133
134,ОАК,46,Удовлетворительное,Грузовой,282-83-3543,134
